https://cs.usfca.edu/svn/yxu66/cs245/Project3

Result on array size: 5
Heap Sort | Reverse = True | Duration = 0.56
Radix Sort | Reverse = True | Duration = 0.16
Merge Sort | Reverse = True | Duration = 0.48
Quick Sort | Reverse = True | Duration = 0.16
Merge Sort LL | Reverse = True | Duration = 0.0
Insertion Sort LL | Reverse = True | Duration = 0.04
Optimized Quick Sort | Reverse = True | Duration = 0.12
==================
Result on array size: 5000
Insertion Sort | Reverse = False | Duration = 0.5
Selection Sort | Reverse = False | Duration = 21.1
Shell Sort | Reverse = False | Duration = 0.35
Bucket Sort | Reverse = False | Duration = 0.25
Heap Sort | Reverse = False | Duration = 0.65
Radix Sort | Reverse = False | Duration = 0.2
Merge Sort | Reverse = False | Duration = 0.6
Quick Sort | Reverse = False | Duration = 0.2
Merge Sort LL | Reverse = False | Duration = 0.2
Insertion Sort LL | Reverse = False | Duration = 41.25
Optimized Quick Sort | Reverse = False | Duration = 0.15

Insertion Sort | Reverse = True | Duration = 0.45
Selection Sort | Reverse = True | Duration = 85.7
Shell Sort | Reverse = True | Duration = 0.3
Bucket Sort | Reverse = True | Duration = 0.2
Heap Sort | Reverse = True | Duration = 0.7
Radix Sort | Reverse = True | Duration = 0.2
Merge Sort | Reverse = True | Duration = 0.65
Quick Sort | Reverse = True | Duration = 0.2
Merge Sort LL | Reverse = True | Duration = 0.0
Insertion Sort LL | Reverse = True | Duration = 0.0
Optimized Quick Sort | Reverse = True | Duration = 0.2
==================
Result on array size: 10000
Insertion Sort | Reverse = False | Duration = 4.0
Selection Sort | Reverse = False | Duration = 88.3
Shell Sort | Reverse = False | Duration = 0.8
Bucket Sort | Reverse = False | Duration = 0.4
Heap Sort | Reverse = False | Duration = 1.4
Radix Sort | Reverse = False | Duration = 0.4
Merge Sort | Reverse = False | Duration = 1.3
Quick Sort | Reverse = False | Duration = 0.5
Merge Sort LL | Reverse = False | Duration = 0.2
Insertion Sort LL | Reverse = False | Duration = 28.4
Optimized Quick Sort | Reverse = False | Duration = 0.4

Insertion Sort | Reverse = True | Duration = 3.4
Selection Sort | Reverse = True | Duration = 333.7
Shell Sort | Reverse = True | Duration = 0.8
Bucket Sort | Reverse = True | Duration = 0.5
Heap Sort | Reverse = True | Duration = 1.5
Radix Sort | Reverse = True | Duration = 0.5
Merge Sort | Reverse = True | Duration = 1.3
Quick Sort | Reverse = True | Duration = 0.5
Merge Sort LL | Reverse = True | Duration = 0.0
Insertion Sort LL | Reverse = True | Duration = 0.0
Optimized Quick Sort | Reverse = True | Duration = 0.4
==================
Result on array size: 50000
Insertion Sort | Reverse = False | Duration = 619.0
Selection Sort | Reverse = False | Duration = 2846.5
Shell Sort | Reverse = False | Duration = 9.5
Bucket Sort | Reverse = False | Duration = 2.5
Heap Sort | Reverse = False | Duration = 10.0
Radix Sort | Reverse = False | Duration = 1.5
Merge Sort | Reverse = False | Duration = 31.5
Quick Sort | Reverse = False | Duration = 5.0
Merge Sort LL | Reverse = False | Duration = 9.5
Insertion Sort LL | Reverse = False | Duration = 10758.5
Optimized Quick Sort | Reverse = False | Duration = 4.5

Insertion Sort | Reverse = True | Duration = 582.5
Selection Sort | Reverse = True | Duration = 8689.0
Shell Sort | Reverse = True | Duration = 9.0
Bucket Sort | Reverse = True | Duration = 3.0
Heap Sort | Reverse = True | Duration = 10.5
Radix Sort | Reverse = True | Duration = 1.5
Merge Sort | Reverse = True | Duration = 10.5
Quick Sort | Reverse = True | Duration = 5.0
Merge Sort LL | Reverse = True | Duration = 5.5
Insertion Sort LL | Reverse = True | Duration = 1.0
Optimized Quick Sort | Reverse = True | Duration = 5.0
==================
Result on array size: 100000
Insertion Sort | Reverse = False | Duration = 5576.0
Selection Sort | Reverse = False | Duration = 10851.0
Shell Sort | Reverse = False | Duration = 33.0
Bucket Sort | Reverse = False | Duration = 7.0
Heap Sort | Reverse = False | Duration = 28.0
Radix Sort | Reverse = False | Duration = 3.0
Merge Sort | Reverse = False | Duration = 26.0
Quick Sort | Reverse = False | Duration = 17.0
Merge Sort LL | Reverse = False | Duration = 25.0
Insertion Sort LL | Reverse = False | Duration = 44536.0
Optimized Quick Sort | Reverse = False | Duration = 15.0

Insertion Sort | Reverse = True | Duration = 5163.0
Selection Sort | Reverse = True | Duration = 34126.0
Shell Sort | Reverse = True | Duration = 32.0
Bucket Sort | Reverse = True | Duration = 6.0
Heap Sort | Reverse = True | Duration = 29.0
Radix Sort | Reverse = True | Duration = 10.0
Merge Sort | Reverse = True | Duration = 30.0
Quick Sort | Reverse = True | Duration = 18.0
Merge Sort LL | Reverse = True | Duration = 5.0
Insertion Sort LL | Reverse = True | Duration = 2.0
Optimized Quick Sort | Reverse = True | Duration = 17.0
==================
